Name,Price,Rating,Room.Type,City,Bed(s)
"Radisson Blu Aqua Hotel, Chicago, IL",‎$199,85,Private room,Chicago,2
InterContinental Chicago Magnificent Mile,‎$195,87,Private room,Chicago,2
SpringHill Suites Chicago Downtown - River North,‎$190,81,Private room,Chicago,2
Blake Chicago,‎$159,85,Private room,Chicago,2
"Club Quarters Hotel, Wacker at Michigan",‎$103,86,Private room,Chicago,2
Kinzie Hotel,‎$165,91,Private room,Chicago,2
SpringHill Suites Chicago O'Hare,‎$129,87,Private room,Chicago,2
The James Chicago,‎$159,82,Private room,Chicago,2
Hampton Inn Chicago Downtown/N Loop/Michigan Ave,‎$161,78,Private room,Chicago,2
"The Hotel Chicago Downtown, Autograph Collection",‎$199,80,Private room,Chicago,2
Homewood Suites by Hilton Chicago-Downtown,‎$161,82,Private room,Chicago,2
La Quinta Inn & Suites Chicago Downtown,‎$159,76,Private room,Chicago,2
Ivy Boutique,‎$169,86,Private room,Chicago,2
Crowne Plaza Chicago Metro Downtown,‎$142,91,Private room,Chicago,2
Fairmont Chicago Millennium Park,‎$203,92,Private room,Chicago,2
The Ritz-Carlton Chicago,‎$319,90,Private room,Chicago,2
Kimpton Hotel Burnham,‎$169,89,Private room,Chicago,2
Residence Inn Chicago Downtown - River North,‎$185,89,Private room,Chicago,2
Waldorf Astoria Chicago,‎$375,93,Private room,Chicago,2
AC Chicago,‎$209,83,Private room,Chicago,2
Inn at Lincoln Park,‎$159,68,Private room,Chicago,2
Hard Rock Chicago,‎$161,82,Private room,Chicago,2
Central Loop Hotel,‎$112,84,Private room,Chicago,2
Homewood Suites by Hilton Chicago-Downtown,‎$161,87,Private room,Chicago,2
Hyatt Centric The Loop Chicago,‎$161,88,Private room,Chicago,2
The Westin Chicago River North,‎$195,86,Private room,Chicago,2
Travelodge Downtown Chicago,‎$93,67,Private room,Chicago,2
Carleton Of Oak Park,‎$134,82,Private room,Chicago,2
DoubleTree by Hilton Chicago Magnificent Mile,‎$118,82,Private room,Chicago,2
Hampton Inn Chicago Downtown-Magnificent Mile,‎$169,83,Private room,Chicago,2
Majestic,‎$144,84,Private room,Chicago,2
Homewood Suites by Hilton Chicago Downtown Magnificent Mile,‎$169,87,Private room,Chicago,2
Fairfield Inn & Suites Chicago Downtown River North,‎$180,88,Private room,Chicago,2
Red Roof Inn Chicago Downtown,‎$110,62,Private room,Chicago,2
Hyatt Regency Chicago,"‎$1,034",84,Private room,Chicago,2
The Westin Michigan Avenue Chicago,‎$199,81,Private room,Chicago,2
Fairfield Inn & Suites Chicago Downtown,‎$189,86,Private room,Chicago,2
Clarion Midway Airport,‎$107,72,Private room,Chicago,2
Hilton Garden Inn Chicago/North Loop,‎$169,87,Private room,Chicago,2
Aloft Chicago City Center,‎$173,88,Private room,Chicago,2
Best Western Plus River North,‎$110,78,Private room,Chicago,2
