Accomodates,Bathroom(s),Bedroom(s),Bed(s),Check.In,Check.Out,Property.Type,Room.Type,Cost.Per.Extra.Person,Weekly.Discount(%),Monthly.Discount(%),Cancellation.Policy,Response.Time,ID,Price,e,City,Price.Per.Indv,Earliest.Check.In
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,28,1189,ny,7,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,115,1194,ny,28.75,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,185,1209,ny,46.25,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,25,1213,ny,25,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,45,1227,ny,11.25,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,125,1232,ny,31.25,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,99,1247,ny,24.75,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,95,1270,ny,23.75,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,80,1288,ny,20,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,115,1302,ny,28.75,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,145,1322,ny,36.25,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,139,1335,ny,34.75,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,130,1340,ny,32.5,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,65,1352,ny,16.25,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,160,1356,ny,160,8AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,95,1378,ny,23.75,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,65,1387,ny,16.25,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,160,1391,ny,160,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,125,1411,ny,31.25,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,125,1424,ny,31.25,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,73,1428,ny,73,8AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,42,1441,ny,10.5,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,100,1445,ny,100,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,185,1460,ny,46.25,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,41,1465,ny,10.25,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,100,1482,ny,25,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,45,1496,ny,11.25,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,125,1501,ny,31.25,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,28,1513,ny,7,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,115,1518,ny,28.75,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,90,1541,ny,22.5,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,55,1554,ny,13.75,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,215,1572,ny,53.75,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,125,1587,ny,31.25,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,73,1591,ny,73,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,100,1609,ny,25,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,139,1630,ny,34.75,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,55,1641,ny,13.75,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,175,1645,ny,175,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,45,1657,ny,11.25,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,160,1662,ny,40,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,42,1677,ny,10.5,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,125,1682,ny,31.25,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,115,1698,ny,28.75,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,28,1711,ny,7,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,270,1715,ny,270,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,139,1733,ny,34.75,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5 the first guest,10,unspecified,Moderate,within an hour,12088134,65,1748,ny,16.25,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,25,1753,ny,6.25,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,175,1772,ny,43.75,11AM
2,1,1,1,8AM - 10AM,10AM,Apartment,Private room,No Charge,unspecified,unspecified,Flexible,within an hour,1760411,95,1783,ny,23.75,8AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,139,1786,ny,34.75,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,80,1790,ny,80,8AM
2,1,1,1,11AM - 11PM,12PM,Apartment,Private room,unspecified,5,25,Strict,within a few hours,5627530,82,11,la,41,11AM
1,1,1,1,11AM,11AM,Condominium,Private room,unspecified,0,unspecified,Strict,within a few hours,10293739,53,19,la,53,11AM
1,1,1,1,11AM,11AM,Condominium,Private room,unspecified,0,unspecified,Strict,within a few hours,10293739,75,51,la,75,11AM
2,1,1,1,8AM,2PM,Apartment,Private room,No Charge,10,unspecified,Flexible,within an hour,13427875,109,68,la,54.5,8AM
2,2,1,1,2AM,9AM,House,Private room,unspecified,0,0,Moderate,within an hour,14011049,79,110,la,39.5,2AM
2,1,1,1,11AM - 7PM,12PM,Apartment,Entire home/apt,No Charge,10,15,Moderate,within an hour,2432788,100,174,la,50,11AM
2,2,1,1,3AM,unspecified,Apartment,Private room,$20 the first guest,unspecified,unspecified,Flexible,unspecified,9217960,109,202,la,54.5,3AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,298,la,41.6666666666667,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,30,424,la,10,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,83,442,la,27.6666666666667,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,460,la,18.3333333333333,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,496,la,18.3333333333333,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,658,la,41.6666666666667,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,694,la,41.6666666666667,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,712,la,41.6666666666667,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,730,la,41.6666666666667,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,748,la,18.3333333333333,9AM
