Price,Room.Type,City,Bed(s),Property.Form,Avg
117,Private room,ch,1,hotel,177.45
163,Private room,ch,1,hotel,177.45
112,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
107,Private room,ch,1,hotel,177.45
195,Private room,ch,1,hotel,177.45
399,Private room,ch,1,hotel,177.45
319,Private room,ch,1,hotel,177.45
137,Private room,ch,1,hotel,177.45
201,Private room,ch,1,hotel,177.45
179,Private room,ch,1,hotel,177.45
169,Private room,ch,1,hotel,177.45
212,Private room,ch,1,hotel,177.45
229,Private room,ch,1,hotel,177.45
155,Private room,ch,1,hotel,177.45
143,Private room,ch,1,hotel,177.45
229,Private room,ch,1,hotel,177.45
299,Private room,ch,1,hotel,177.45
144,Private room,ch,1,hotel,177.45
112,Private room,ch,1,hotel,177.45
158,Private room,ch,1,hotel,177.45
132,Private room,ch,1,hotel,177.45
127,Private room,ch,1,hotel,177.45
169,Private room,ch,1,hotel,177.45
419,Private room,ch,1,hotel,177.45
103,Private room,ch,1,hotel,177.45
189,Private room,ch,1,hotel,177.45
178,Private room,ch,1,hotel,177.45
199,Private room,ch,1,hotel,177.45
185,Private room,ch,1,hotel,177.45
219,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
107,Private room,ch,1,hotel,177.45
127,Private room,ch,1,hotel,177.45
127,Private room,ch,1,hotel,177.45
136,Private room,ch,1,hotel,177.45
152,Private room,ch,1,hotel,177.45
171,Private room,ch,1,hotel,177.45
319,Private room,ch,1,hotel,177.45
169,Private room,ch,1,hotel,177.45
163,Private room,ch,1,hotel,177.45
199,Private room,ch,1,hotel,177.45
293,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
137,Private room,ch,1,hotel,177.45
375,Private room,ch,1,hotel,177.45
149,Private room,ch,1,hotel,177.45
130,Private room,ch,1,hotel,177.45
157,Private room,ch,1,hotel,177.45
143,Private room,ch,1,hotel,177.45
94,Private room,ch,1,hotel,177.45
190,Private room,ch,1,hotel,177.45
219,Private room,ch,1,hotel,177.45
159,Private room,ch,1,hotel,177.45
103,Private room,ch,1,hotel,177.45
399,Private room,ch,1,hotel,177.45
181,Private room,ch,1,hotel,177.45
167,Private room,ch,1,hotel,177.45
316,Private room,ch,2,hotel,190.54
159,Private room,ch,2,hotel,190.54
296,Private room,ch,2,hotel,190.54
134,Private room,ch,2,hotel,190.54
150,Private room,ch,2,hotel,190.54
111,Private room,ch,2,hotel,190.54
139,Private room,ch,2,hotel,190.54
161,Private room,ch,2,hotel,190.54
179,Private room,ch,2,hotel,190.54
117,Private room,ch,2,hotel,190.54
137,Private room,ch,2,hotel,190.54
161,Private room,ch,2,hotel,190.54
103,Private room,ch,2,hotel,190.54
112,Private room,ch,2,hotel,190.54
170,Private room,ch,2,hotel,190.54
152,Private room,ch,2,hotel,190.54
116,Private room,ch,2,hotel,190.54
130,Private room,ch,2,hotel,190.54
1034,Private room,ch,2,hotel,190.54
159,Private room,ch,2,hotel,190.54
219,Private room,ch,2,hotel,190.54
