Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
2, 1,1,1,,, House, Private room, No Charge,,, Flexible, within an hour,9471416,85,87,sf,42.5
1, 1,1,1, Anytime after 3PM,, Apartment, Shared room,,,, Strict, within an hour,13219829,111,88,sf,111
2, 1.5,1,1,,, Apartment, Private room, No Charge, 15%, 30%, Flexible, within an hour,13591379,100,89,sf,50
1, 1,1,1, Anytime after 3PM, 12AM (midnight), Apartment, Shared room,,,, Flexible, within an hour,13139804,100,90,sf,100
2, 1,0,1, 2PM - 2AM (next day), 11AM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,10783991,36,91,sf,18
2, 1,1,1, 2PM - 2AM (next day), 12PM (noon), House, Private room, No Charge, 15%, 25%, Strict, within an hour,4275896,36,92,sf,18
2, 1,1,1, Anytime after 3PM,, Apartment, Private room, No Charge,,, Flexible, within an hour,14029591,125,93,sf,62.5
2, 1,1,2,,, Condominium, Shared room,, 0%, 0%, Strict, within an hour,1711403,169,94,sf,84.5
2, 1,1,1,,, Apartment, Private room, No Charge, 0%, 0%, Flexible, within an hour,12023104,75,95,sf,37.5
1, 0.5,1,1,,, Apartment, Private room,,,, Flexible, within an hour,14059646,125,96,sf,125
2, 1 (Private),1,1, Anytime after 4PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Strict, within an hour,7026287,120,97,sf,60
2, 1 (Shared),1,1, Anytime after 2PM, 12PM (noon), Apartment, Private room, $15 / night after the first guest, 0%, 0%, Strict, within an hour,5338610,70,98,sf,35
4, 1,0,1, Anytime after 12PM (noon), 12PM (noon), Apartment, Entire home/apt, $25 / night after 2 guests,,, Strict, within an hour,6885816,180,99,sf,45
2, 0,1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 10%, 32%, Moderate, within an hour,8685766,109,100,sf,54.5
2, 1,1,1, Anytime after 3PM, 11AM, Apartment, Private room, No Charge, 15%, 30%, Moderate, within a day,791573,96,101,sf,48
2, 1,1,1,,, House, Private room, No Charge,,, Flexible,,10474466,105,102,sf,52.5
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, No Charge, 15%, 20%, Strict, within an hour,3416013,125,103,sf,62.5
2, 1,1,1,,, House, Private room,, 15%, 20%, Moderate, within an hour,8408710,245,104,sf,122.5
