Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
 2, 1,1,1, Anytime after 12PM (noon), 11AM, Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,13141711,70,124,ny,17.5
 1, 1 (Shared),1,1, Anytime after 12PM (noon), 12PM (noon), House, Private room,, 0%, 0%, Strict, within an hour,54486,175,125,ny,175
 1, 1,1,1, Anytime after 11AM, 4AM, Apartment, Private room,,,, Flexible, within an hour,13682689,68,126,ny,68
 3, 1 (Private),1,2, Anytime after 10AM, 5PM, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,13478857,200,127,ny,40
 2, 1,1,1, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, No Charge,,, Strict, within an hour,9886516,49,128,ny,12.25
 2, 1 (Private),1,1, 3PM - 10PM, 11AM, Entire Floor, Entire home/apt, No Charge, 0%, 10%, Moderate,,14148905,120,129,ny,30
 2, 1 (Private),1,1,,, Apartment, Entire home/apt,, 21%, 49%, Flexible, within a day,12601853,89,130,ny,22.25
 2, 1 (Shared),1,1, Flexible,, Apartment, Private room, $29 / night after the first guest,,, Moderate, within an hour,13858288,250,131,ny,62.5
 4, 1,1,1, Anytime after 3PM,, Apartment, Entire home/apt, No Charge,,, Flexible, within an hour,14124161,90,132,ny,15
 1, 1,1,1, 5PM - 8PM, 9AM, Apartment, Private room,,,, Moderate, within an hour,12776694,115,133,ny,115
 3, 1 (Private),0,1, Anytime after 1PM, 12PM (noon), Apartment, Entire home/apt, No Charge, 10%, 20%, Moderate, within an hour,14166247,160,134,ny,32
 3, 1 (Private),1,2, Flexible, 11PM, Apartment, Entire home/apt, No Charge,,, Strict,,14120480,169,135,ny,33.8
 3, 1 (Private),0,2, Anytime after 2PM, 12PM (noon), Apartment, Entire home/apt, $25 / night after 2 guests, 5%, 10%, Strict, within an hour,13927957,125,136,ny,25
 2, 1,0,1, Anytime after 3PM,, Apartment, Entire home/apt, No Charge, 10%,, Flexible, within an hour,14110808,125,137,ny,31.25
 2, 1 (Private),0,1, Anytime after 3PM, 1PM, Apartment, Entire home/apt,, 0%, 0%, Strict, within an hour,13591611,25,138,ny,6.25
 1, 1 (Shared),1,4, 12PM (noon) - 12AM (midnight), 2PM, Apartment, Shared room,,,, Flexible, within an hour,13896197,72,139,ny,72
 1, 1 (Shared),1,1,,, Apartment, Private room,,,, Moderate, within an hour,13716732,90,140,ny,90
 2, 1,1,1, Anytime after 4PM, 11AM, Apartment, Private room, No Charge, 0%, 0%, Strict, within an hour,4815915,34,141,ny,8.5
 1, 1 (Shared),1,1, 12PM (noon) - 2PM, 11AM, Apartment, Private room,, 10%, 15%, Strict, within an hour,13810818,45,142,ny,45
 2, 1 (Shared),1,1,, 12PM (noon), Apartment, Private room, $5 / night after the first guest,,, Flexible, within a few hours,13921768,75,143,ny,18.75
