Name,Price,Rating,Room.Type,City,Bed(s)
The Towers of the Waldorf Astoria New York,‎$450,85,Private room,San Francisco,2
The London NYC,‎$263,88,Private room,San Francisco,2
Four Seasons Hotel New York,‎$530,89,Private room,San Francisco,2
The Peninsula New York,"‎$1,530",91,Private room,San Francisco,2
The Roxy Hotel,‎$302,86,Private room,San Francisco,2
The Lexington,‎$154,80,Private room,San Francisco,2
Park Lane New York,‎$191,79,Private room,San Francisco,2
The Quin,‎$305,89,Private room,San Francisco,2
Bentley Hotel,‎$139,76,Private room,San Francisco,2
The Plaza,‎$544,89,Private room,San Francisco,2
Hilton Garden Inn New York-Tribeca,‎$189,82,Private room,San Francisco,2
The Westin New York at Times Square,‎$207,84,Private room,San Francisco,2
Hilton Times Square,‎$206,88,Private room,San Francisco,2
Hilton Garden Inn - West 35th Street,‎$167,87,Private room,San Francisco,2
Morgans Hotel,‎$175,85,Private room,San Francisco,2
W New York,‎$159,77,Private room,San Francisco,2
Fitzpatrick Manhattan,‎$166,88,Private room,San Francisco,2
Gild Hall,‎$175,88,Private room,San Francisco,2
Sheraton Tribeca New York Hotel,‎$163,80,Private room,San Francisco,2
Hampton Inn Manhattan-Times Square South,‎$176,84,Private room,San Francisco,2
Hampton Inn Manhattan - Times Square North,‎$149,86,Private room,San Francisco,2
Hilton Times Square,‎$179,88,Private room,San Francisco,2
Waldorf Astoria,‎$232,80,Private room,San Francisco,2
Fitzpatrick Manhattan,‎$145,88,Private room,San Francisco,2
The Marlton,‎$215,88,Private room,San Francisco,2
Crowne Plaza Times Square Manhattan,‎$171,83,Private room,San Francisco,2
Holiday Inn Manhattan 6th Ave - Chelsea,‎$152,77,Private room,San Francisco,2
The Hotel at Times Square,‎$125,77,Private room,San Francisco,2
Hotel East Houston,‎$161,81,Private room,San Francisco,2
New York Marriott Downtown,‎$206,83,Private room,San Francisco,2
Refinery Hotel,‎$229,90,Private room,San Francisco,2
Courtyard New York Times Square West,‎$173,88,Private room,San Francisco,2
Hyatt Times Square New York,‎$199,91,Private room,San Francisco,2
Courtyard New York Manhattan Midtown East,‎$175,86,Private room,San Francisco,2
Doubletree Guest Suites Times Square,‎$237,85,Private room,San Francisco,2
Ameritania at Times Square,‎$219,80,Private room,San Francisco,2
Ramada New York / Eastside,‎$125,76,Private room,San Francisco,2
Viceroy Central Park New York,‎$240,84,Private room,San Francisco,2
The Kitano New York,‎$307,88,Private room,San Francisco,2
The Premier Hotel New York,‎$225,82,Private room,San Francisco,2
Comfort Inn Times Square West,‎$215,82,Private room,San Francisco,2
Best Western Premier Herald Square,‎$180,85,Private room,San Francisco,2
Park Central,‎$137,78,Private room,San Francisco,2
Courtyard by Marriott New York Manhattan - Herald Square,‎$197,87,Private room,San Francisco,2
Fairfield Inn New York Manhattan-Financial District,‎$158,83,Private room,San Francisco,2
Park Lane New York,‎$199,86,Private room,San Francisco,2
Morgans Hotel,‎$172,88,Private room,San Francisco,2
New York Marriott East Side,‎$197,80,Private room,San Francisco,2
Hyatt Times Square New York,‎$199,88,Private room,San Francisco,2
Wellington,‎$143,88,Private room,San Francisco,2
The Manhattan at Times Square,‎$134,83,Private room,San Francisco,2
Warwick New York,‎$161,77,Private room,San Francisco,2
Tryp Times Square,‎$159,77,Private room,San Francisco,2
Hilton Garden Inn New York-Chelsea,‎$146,81,Private room,San Francisco,2
Fitzpatrick Manhattan,‎$145,83,Private room,San Francisco,2
W New York,‎$200,90,Private room,San Francisco,2
The Lucerne,‎$193,88,Private room,San Francisco,2
Hotel Mela,‎$127,91,Private room,San Francisco,2
Dumont NYC-an Affinia hotel,‎$197,86,Private room,San Francisco,2
The Westin New York at Times Square,‎$214,85,Private room,San Francisco,2
The Premier Hotel Times Square,‎$225,80,Private room,San Francisco,2
The Leon Hotel,‎$127,76,Private room,San Francisco,2
Hyatt Union Square New York,‎$246,84,Private room,San Francisco,2
Fairfield Inn & Suites New York Manhattan-Fifth Avenue,‎$152,88,Private room,San Francisco,2
Element New York Times Square West,‎$159,82,Private room,San Francisco,2
Dream Downtown,‎$245,82,Private room,San Francisco,2
Fifty NYC -an Affinia hotel,‎$180,85,Private room,San Francisco,2
Hilton New York Fashion District,‎$143,78,Private room,San Francisco,2
Hyatt Place New York Midtown South,‎$149,87,Private room,San Francisco,2
New York Marriott Marquis,‎$278,83,Private room,San Francisco,2
Hotel East Houston,‎$161,81,Private room,San Francisco,2
Hilton New York Fashion District,‎$215,83,Private room,San Francisco,2
Park Lane New York,‎$224,79,Private room,San Francisco,2
Hampton Inn Manhattan - Madison Square Garden Area,‎$218,84,Private room,San Francisco,2
"The Muse, a Kimpton Hotel",‎$254,89,Private room,San Francisco,2
Mandarin Oriental New York,‎$745,89,Private room,San Francisco,2
The Westin New York at Times Square,‎$294,84,Private room,San Francisco,2
Chambers,‎$266,88,Private room,San Francisco,2
InterContinental New York Times Square,‎$279,86,Private room,San Francisco,2
Gardens NYC-an Affinia hotel,‎$313,85,Private room,San Francisco,2
Chandler,‎$223,87,Private room,San Francisco,2
Morgans Hotel,‎$225,85,Private room,San Francisco,2
NobleDEN,‎$170,90,Private room,San Francisco,2
Comfort Inn Theatre District,‎$197,82,Private room,San Francisco,2
Element New York Times Square West,‎$219,85,Private room,San Francisco,2
The Manhattan at Times Square,‎$206,68,Private room,San Francisco,2
The Westin New York Grand Central,‎$339,85,Private room,San Francisco,2
Best Western Premier Herald Square,‎$220,85,Private room,San Francisco,2
Best Western Seaport Inn Downtown,‎$169,84,Private room,San Francisco,2
Broadway Plaza,‎$242,78,Private room,San Francisco,2
The Ritz Carlton New York Central Park,‎$695,90,Private room,San Francisco,2
Hotel Elysee New York,‎$261,90,Private room,San Francisco,2
Candlewood Times Square,‎$213,85,Private room,San Francisco,2
Courtyard by Marriott New York Manhattan - Herald Square,‎$294,87,Private room,San Francisco,2
Courtyard New York Manhattan Midtown East,‎$272,86,Private room,San Francisco,2
