Accomodates,Bathroom(s),Bedroom(s),Bed(s),Check.In,Check.Out,Property.Type,Room.Type,Cost.Per.Extra.Person,Weekly.Discount(%),Monthly.Discount(%),Cancellation.Policy,Response.Time,ID,Price,e,City,Earliest.Check.In
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,16,1719,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,55,1731,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,84,1735,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,60,1736,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,16,1737,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,85,1749,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,199,1753,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,65,1754,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,140,1755,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within a day,14076418,85,1767,ch,Unspecified
4,1,1,2,unspecified,unspecified,Apartment,Shared room,$10,unspecified,unspecified,Flexible,within a few hours,14014338,199,1771,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,unspecified,8387305,65,1772,ch,Unspecified
unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,unspecified,8917609,140,1773,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,No Charge,unspecified,unspecified,Moderate,within an hour,12076738,99,1782,ch,Unspecified
3,1,0,2,unspecified,unspecified,Apartment,Entire home/apt,No Charge,5,25,Strict,within an hour,12211390,129,1783,ch,Unspecified
2,1,1,1,unspecified,11AM,Condominium,Private room,No Charge,15,30,Strict,within an hour,8824621,45,1784,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,unspecified,15,36,Flexible,within an hour,3976521,75,1786,ch,Unspecified
2,1.5,1,1,unspecified,unspecified,House,Private room,$7,15,0,Strict,within an hour,9690523,46,1792,ch,Unspecified
2,1,1,1,unspecified,unspecified,Apartment,Private room,$20,unspecified,unspecified,Flexible,within an hour,13601696,50,1794,ch,Unspecified
3,1,1,1,Flexible,11AM,House,Private room,$18,5,15,Moderate,within an hour,13642014,220,3,sf,Flexible
2,1,1,1,Flexible,2PM,House,Private room,No Charge,unspecified,unspecified,Flexible,within an hour,13606695,60,21,sf,Flexible
2,1,1,1,Flexible,12PM,House,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,13899585,100,54,sf,Flexible
2,1,0,2,Flexible,12PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Strict,within an hour,13477247,75,132,sf,Flexible
2,1,1,1,Flexible,12PM,House,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,13899585,90,169,sf,Flexible
2,1,1,1,Flexible,12PM,House,Private room,No Charge,unspecified,unspecified,Flexible,within an hour,14009785,115,193,sf,Flexible
4,1,1,2,Flexible,12PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,13396831,100,199,sf,Flexible
2,1,1,1,Flexible,11AM,House,Private room,No Charge,10,15,Moderate,within an hour,13735664,175,204,sf,Flexible
2,3.5,1,1,Flexible,12PM,House,Private room,No Charge,unspecified,unspecified,Moderate,within a few hours,13785125,125,210,sf,Flexible
2,1,1,1,Flexible,12PM,House,Entire home/apt,No Charge,15,25,Moderate,within an hour,13155451,175,231,sf,Flexible
1,1,1,1,Flexible,12PM,Apartment,Entire home/apt,unspecified,0,0,Strict,within an hour,13749110,179,432,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,100,464,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,179,519,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,175,536,sf,Flexible
1,1,1,1,Flexible,12PM,Apartment,Entire home/apt,unspecified,0,0,Strict,within an hour,13749110,89,576,sf,Flexible
1,1,1,1,Flexible,12PM,Apartment,Entire home/apt,unspecified,0,0,Strict,within an hour,13749110,120,594,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,100,608,sf,Flexible
1,1,1,1,Flexible,12PM,Apartment,Entire home/apt,unspecified,0,0,Strict,within an hour,13749110,179,630,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,175,644,sf,Flexible
1,1,1,1,Flexible,12PM,Apartment,Entire home/apt,unspecified,0,0,Strict,within an hour,13749110,155,666,sf,Flexible
2,1,1,1,Flexible,unspecified,Loft,Private room,unspecified,10,15,Moderate,within an hour,13346086,175,698,sf,Flexible
