Accomodates,Bathroom(s),Bedroom(s),Bed(s),Check.In,Check.Out,Property.Type,Room.Type,Cost.Per.Extra.Person,Weekly.Discount(%),Monthly.Discount(%),Cancellation.Policy,Response.Time,ID,Price,e,City,Earliest.Check.In
2,1,1,1,11AM,3PM,Apartment,Private room,No Charge,unspecified,unspecified,Strict,unspecified,11340259,119,62,sf,11AM
2,1,1,1,9AM,3PM,Apartment,Entire home/apt,No Charge,18,42,Strict,unspecified,7952959,78,66,sf,9AM
1,1,1,1,11AM - 11PM,12PM,Apartment,Shared room,unspecified,3,5,Moderate,within an hour,1408281,129,130,sf,11AM
1,2,1,1,8AM - 10PM,9PM,Apartment,Private room,unspecified,10,0,Flexible,within a few hours,3268637,80,170,sf,8AM
2,1,1,1,11AM,11AM,Apartment,Private room,No Charge,10,15,Strict,within an hour,5884735,119,189,sf,11AM
1,1,1,1,11AM,10AM,Apartment,Private room,unspecified,unspecified,unspecified,Flexible,within an hour,13979723,71,271,sf,11AM
2,1,1,1,9AM - 5PM,1PM,Apartment,Entire home/apt,No Charge,35,40,Strict,within a few hours,6887043,119,1621,sf,9AM
2,1,0,1,11AM,3PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,13258556,120,46,nyc,11AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,14,56,nyc,8AM
2,1,0,1,11AM,3PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,13258556,65,88,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,100,112,nyc,8AM
4,1,0,2,8AM - 12PM,12PM,Loft,Entire home/apt,No Charge,0,0,Strict,within an hour,4482049,65,113,nyc,8AM
1,1,1,1,11AM,4AM,Apartment,Private room,unspecified,unspecified,unspecified,Flexible,within an hour,13682689,68,126,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,60,159,nyc,11AM
4,1,0,2,8AM - 12PM,12PM,Loft,Entire home/apt,No Charge,0,0,Strict,within an hour,4482049,30,162,nyc,8AM
2,1,0,1,8AM - 12AM,11AM,Loft,Entire home/apt,unspecified,25,30,Flexible,within an hour,12232639,140,190,nyc,8AM
2,2,1,1,8AM - 2AM,12PM,House,Private room,$5,15,0,Strict,within an hour,4491261,60,279,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,125,285,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,55,290,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,100,295,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,125,313,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,82,326,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,215,331,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,28,343,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,270,347,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,74,362,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,175,367,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,80,387,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,25,402,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,175,421,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,270,437,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,70,452,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,73,457,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,185,471,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,41,476,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,50,488,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,120,493,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,45,505,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,170,509,nyc,8AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,125,531,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,139,550,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,125,560,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,100,565,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,74,578,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,115,582,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,45,596,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,160,601,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,42,614,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,100,618,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,125,632,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,100,637,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,73,654,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,82,668,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,50,672,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,74,686,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,175,691,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,139,705,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,130,710,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,50,726,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,175,747,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,74,758,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,115,762,nyc,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,115,780,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,65,794,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,25,799,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,55,816,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,55,831,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,175,835,nyc,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,25,853,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,74,866,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,175,871,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,42,884,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,100,888,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,28,901,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,115,906,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,120,921,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,35,926,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,41,943,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,41,961,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,80,979,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,65,992,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,160,996,nyc,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,175,1015,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,50,1031,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,45,1046,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,160,1051,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,55,1065,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,41,1069,nyc,8AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,90,1091,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,120,1101,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,35,1106,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,45,1117,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,160,1122,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,80,1143,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,425,1161,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,90,1181,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,28,1189,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,115,1194,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,185,1209,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,25,1213,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,45,1227,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,125,1232,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,99,1247,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,95,1270,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,80,1288,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,115,1302,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,145,1322,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,139,1335,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,130,1340,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,65,1352,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,160,1356,nyc,8AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,95,1378,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,65,1387,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,160,1391,nyc,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,125,1411,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,125,1424,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,73,1428,nyc,8AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,42,1441,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,100,1445,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,185,1460,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,41,1465,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,100,1482,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,45,1496,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,125,1501,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,28,1513,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,115,1518,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,90,1541,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,55,1554,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,215,1572,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,125,1587,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,73,1591,nyc,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,100,1609,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,139,1630,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,55,1641,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,175,1645,nyc,8AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,45,1657,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,160,1662,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,42,1677,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,125,1682,nyc,11AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,115,1698,nyc,11AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,28,1711,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,270,1715,nyc,8AM
2,1,1,1,11AM - 6PM,11AM,Apartment,Private room,No Charge,0,0,Moderate,within an hour,11701222,139,1733,nyc,11AM
2,1,1,1,8AM - 11PM,11AM,Apartment,Private room,$5,10,unspecified,Moderate,within an hour,12088134,65,1748,nyc,8AM
2,2,1,1,11AM,10PM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Flexible,within an hour,14105094,25,1753,nyc,11AM
2,1.5,1,1,11AM,unspecified,House,Private room,No Charge,0,0,Flexible,within an hour,4271433,175,1772,nyc,11AM
2,1,1,1,8AM - 10AM,10AM,Apartment,Private room,No Charge,unspecified,unspecified,Flexible,within an hour,1760411,95,1783,nyc,8AM
2,1,1,1,8AM - 11PM,12PM,Apartment,Entire home/apt,No Charge,10,20,Moderate,within a day,13685871,139,1786,nyc,8AM
1,1,1,4,8AM - 12AM,unspecified,Apartment,Shared room,unspecified,unspecified,unspecified,Flexible,within an hour,13857142,80,1790,nyc,8AM
2,1,1,1,11AM - 11PM,12PM,Apartment,Private room,unspecified,5,25,Strict,within a few hours,5627530,82,11,la,11AM
1,1,1,1,11AM,11AM,Condominium,Private room,unspecified,0,unspecified,Strict,within a few hours,10293739,53,19,la,11AM
1,1,1,1,11AM,11AM,Condominium,Private room,unspecified,0,unspecified,Strict,within a few hours,10293739,75,51,la,11AM
2,1,1,1,8AM,2PM,Apartment,Private room,No Charge,10,unspecified,Flexible,within an hour,13427875,109,68,la,8AM
2,2,1,1,2AM,9AM,House,Private room,unspecified,0,0,Moderate,within an hour,14011049,79,110,la,2AM
2,1,1,1,11AM - 7PM,12PM,Apartment,Entire home/apt,No Charge,10,15,Moderate,within an hour,2432788,100,174,la,11AM
2,2,1,1,3AM,unspecified,Apartment,Private room,$20,unspecified,unspecified,Flexible,unspecified,9217960,109,202,la,3AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,298,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,30,424,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,83,442,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,460,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,496,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,658,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,694,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,712,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,730,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,748,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,100,766,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,820,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,838,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,83,892,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,83,909,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,946,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,30,982,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1036,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1108,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,30,1162,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,30,1198,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,1270,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,1288,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,1306,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1324,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,30,1342,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,100,1396,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1414,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1450,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1468,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,135,1505,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1522,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1558,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1576,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1648,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1666,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,125,1684,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,55,1720,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,83,1755,la,9AM
3,1,1,2,9AM - 10PM,1PM,House,Entire home/apt,No Charge,10,0,Flexible,within a few hours,37171,83,1792,la,9AM
2,1,0,1,11AM - 12PM,9AM,Apartment,Entire home/apt,No Charge,15,40,Strict,within an hour,12210530,30,14,ch,11AM
4,1,2,3,11AM,11AM,Apartment,Entire home/apt,unspecified,0,0,Strict,within an hour,12136155,60,41,ch,11AM
2,1,1,1,8AM - 2AM,10PM,Apartment,Private room,No Charge,10,0,Moderate,within an hour,7418174,57,49,ch,8AM
2,1,0,1,11AM - 12PM,9AM,Apartment,Entire home/apt,No Charge,15,40,Strict,within an hour,12210530,50,76,ch,11AM
2,1,1,1,11AM,11AM,Apartment,Private room,unspecified,0,0,Flexible,within an hour,11697616,79,127,ch,11AM
2,1,1,1,8AM - 3PM,3PM,Apartment,Entire home/apt,No Charge,20,30,Flexible,within an hour,13236524,34,134,ch,8AM
3,1,1,1,12AM,12PM,Apartment,Private room,$12,0,0,Moderate,within an hour,13082944,75,268,ch,12AM
2,1,1,1,8AM - 2AM,10PM,Apartment,Private room,No Charge,10,0,Moderate,within an hour,7418174,70,270,ch,8AM
12,2,2,6,3PM,12PM,Apartment,Entire home/apt,$15,10,12,Strict,within an hour,2459643,250,1,sf,3PM
3,1,1,2,3PM,11AM,Apartment,Private room,$10,0,0,Moderate,within an hour,748222,100,2,sf,3PM
3,1,1,1,3PM - 12AM,11AM,Apartment,Entire home/apt,No Charge,unspecified,unspecified,Strict,within an hour,12204037,80,4,sf,3PM
4,1,1,2,2PM,10AM,Apartment,Entire home/apt,$10,10,30,Moderate,within a day,24723,50,6,sf,2PM
