Accommodates,Bathrooms,Bedrooms,Beds,Check.In,Check.Out,Property.type,Room.type,Extra.people,Weekly.discount,Monthly.discount,Cancellation,Response.time,ID,price,e,city,price_per_indv
5, 1,2,5, Anytime after 4PM, 11AM, Apartment, Entire home/apt, $30 / night after 4 guests, 15%, 25%, Strict, within a few hours,8082364,75,145,San Francisco,15
2, 1,1,1,,, House, Entire home/apt, No Charge, 15%, 0%, Moderate, within an hour,4816543,239,146,San Francisco,119.5
2, 1,1,1, Anytime after 2PM, 11AM, Apartment, Private room,, 0%, 0%, Moderate, within an hour,11951491,134,147,San Francisco,67
6, 1,2,3,,, Apartment, Entire home/apt, $20 / night after 4 guests, 10%, 10%, Flexible, within an hour,1277771,150,148,San Francisco,25
2, 1 (Private),1,1, Anytime after 4PM, 12PM (noon), House, Private room, No Charge, 0%, 0%, Strict, within an hour,7026287,140,149,San Francisco,70
2, 0,1,1, Anytime after 2PM, 11AM, House, Private room,,,, Moderate, within an hour,13022499,225,150,San Francisco,112.5
2, 1 (Private),1,1, Anytime after 3PM, 12PM (noon), Apartment, Entire home/apt,, 10%, 20%, Moderate, within an hour,4616596,119,151,San Francisco,59.5
2, 1.5,1,1,,, Loft, Entire home/apt, No Charge, 0%, 17%, Strict, within a few hours,2665028,89,152,San Francisco,44.5
1, 1,1,1,,, House, Private room,, 0%, 0%, Flexible,,8438983,250,153,San Francisco,250
4, 1,2,2, Anytime after 1PM, 11AM, Apartment, Entire home/apt, No Charge,,, Strict,,11390565,90,154,San Francisco,22.5
2, 1,1,1, Anytime after 3PM, 11AM, Bungalow, Private room,, 0%, 0%, Moderate, within an hour,8088720,188,155,San Francisco,94
4, 1,1,1, Anytime after 2PM, 11AM, House, Private room, $20 / night after 3 guests, 10%, 0%, Moderate, within an hour,13021568,91,156,San Francisco,22.75
2, 1,1,2, Anytime after 3PM, 12PM (noon), Apartment, Private room,, 0%, 30%, Strict, within an hour,5039986,160,157,San Francisco,80
1, 1,1,1, Anytime after 3PM, 12PM (noon), Apartment, Private room,, 0%, 0%, Moderate, within an hour,9186305,245,158,San Francisco,245
2, 1,0,1,,, Apartment, Entire home/apt, No Charge,,, Moderate, within an hour,11035236,139,159,San Francisco,69.5
2, 1,1,1,,, House, Private room, No Charge,,, Moderate, within an hour,6968158,108,160,San Francisco,54
2, 1,0,1, Anytime after 3PM, 11AM, Apartment, Entire home/apt, No Charge, 0%, 0%, Moderate, within an hour,7484256,70,161,San Francisco,35
2, 1,1,1,,, Apartment, Private room, No Charge,,, Flexible, within a few hours,11474298,65,162,San Francisco,32.5
2, 1,1,1, Anytime after 2PM, 11AM, Apartment, Private room,, 0%, 0%, Moderate, within an hour,11951491,161,163,San Francisco,80.5
2, 1,1,1, 3PM - 2AM (next day), 11AM, Apartment, Entire home/apt,, 5%, 10%, Moderate, within an hour,2518781,125,164,San Francisco,62.5
2, 1,1,1, Anytime after 3PM, 11AM, House, Private room, No Charge, 10%, 20%, Moderate, within a few hours,5852066,300,165,San Francisco,150
3, 1,1,2, Anytime after 1PM, 12PM (noon), Apartment, Private room, $40 / night after 2 guests, 20%, 30%, Moderate, within an hour,8904937,115,166,San Francisco,38.3333333333333
3, 1,0,3, 3PM - 12AM (midnight), 11AM, Apartment, Entire home/apt, $25 / night after 2 guests, 10%, 15%, Strict, within an hour,5589530,125,167,San Francisco,41.6666666666667
3, 1 (Private),1,1, 2PM - 11PM, 10AM, House, Private room, $30 / night after 2 guests, 0%, 0%, Moderate, within an hour,6629798,150,168,San Francisco,50
2, 1,1,1, Flexible, 12PM (noon), House, Entire home/apt, No Charge,,, Flexible, within an hour,13899585,90,169,San Francisco,45
1, 2,1,1, 8AM - 10PM, 9PM, Apartment, Private room,, 10%, 0%, Flexible, within a few hours,3268637,80,170,San Francisco,80
4, 1,1,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $20 / night after 2 guests, 0%, 0%, Strict, within an hour,6156195,150,171,San Francisco,37.5
3, 1,0,1,,, Apartment, Entire home/apt, No Charge, 15%, 30%, Flexible, within an hour,10509841,155,172,San Francisco,51.6666666666667
5, 1,0,2, Anytime after 3PM, 11AM, Apartment, Entire home/apt, $10 / night after 2 guests, 0%, 0%, Moderate, within an hour,7478631,136,173,San Francisco,27.2
2, 1 (Private),1,1, 2PM - 9PM, 12PM (noon), Apartment, Private room, No Charge, 0%, 0%, Moderate, within an hour,8697987,230,174,San Francisco,115
