Room.Type,City,Bed(s),Property.Form,Price,Avg
Private room,Chicago,1,hotel,143,177.45
Private room,Chicago,1,hotel,116,177.45
Private room,Chicago,1,hotel,325,177.45
Private room,Chicago,1,hotel,169,177.45
Private room,Chicago,1,hotel,229,177.45
Private room,Chicago,1,hotel,112,177.45
Private room,Chicago,1,hotel,134,177.45
Private room,Chicago,1,hotel,127,177.45
Private room,Chicago,1,hotel,142,177.45
Private room,Chicago,1,hotel,157,177.45
Private room,Chicago,1,hotel,127,177.45
Private room,Chicago,1,hotel,203,177.45
Private room,Chicago,1,hotel,159,177.45
Private room,Chicago,1,hotel,178,177.45
Private room,Chicago,1,hotel,130,177.45
Private room,Chicago,1,hotel,103,177.45
Private room,Chicago,1,hotel,137,177.45
Private room,Chicago,1,hotel,149,177.45
Private room,Chicago,1,hotel,139,177.45
Private room,Chicago,1,hotel,159,177.45
Private room,Chicago,1,hotel,157,177.45
Private room,Chicago,1,hotel,219,177.45
Private room,Chicago,1,hotel,199,177.45
Private room,Chicago,1,hotel,170,177.45
Private room,Chicago,1,hotel,199,177.45
Private room,Chicago,1,hotel,119,177.45
Private room,Chicago,1,hotel,149,177.45
Private room,Chicago,1,hotel,112,177.45
Private room,Chicago,1,hotel,179,177.45
Private room,Chicago,1,hotel,111,177.45
Private room,Chicago,1,hotel,209,177.45
Private room,Chicago,1,hotel,118,177.45
Private room,Chicago,1,hotel,159,177.45
Private room,Chicago,1,hotel,179,177.45
Private room,Chicago,1,hotel,103,177.45
Private room,Chicago,1,hotel,202,177.45
Private room,Chicago,1,hotel,117,177.45
Private room,Chicago,1,hotel,163,177.45
Private room,Chicago,1,hotel,112,177.45
Private room,Chicago,1,hotel,159,177.45
Private room,Chicago,1,hotel,107,177.45
Private room,Chicago,1,hotel,195,177.45
Private room,Chicago,1,hotel,399,177.45
Private room,Chicago,1,hotel,319,177.45
Private room,Chicago,1,hotel,137,177.45
Private room,Chicago,1,hotel,201,177.45
Private room,Chicago,1,hotel,179,177.45
Private room,Chicago,1,hotel,169,177.45
Private room,Chicago,1,hotel,212,177.45
Private room,Chicago,1,hotel,229,177.45
Private room,Chicago,1,hotel,155,177.45
Private room,Chicago,1,hotel,143,177.45
Private room,Chicago,1,hotel,229,177.45
Private room,Chicago,1,hotel,299,177.45
Private room,Chicago,1,hotel,144,177.45
Private room,Chicago,1,hotel,112,177.45
Private room,Chicago,1,hotel,158,177.45
Private room,Chicago,1,hotel,132,177.45
Private room,Chicago,1,hotel,127,177.45
Private room,Chicago,1,hotel,169,177.45
Private room,Chicago,1,hotel,419,177.45
Private room,Chicago,1,hotel,103,177.45
Private room,Chicago,1,hotel,189,177.45
Private room,Chicago,1,hotel,178,177.45
Private room,Chicago,1,hotel,199,177.45
Private room,Chicago,1,hotel,185,177.45
Private room,Chicago,1,hotel,219,177.45
Private room,Chicago,1,hotel,159,177.45
Private room,Chicago,1,hotel,107,177.45
Private room,Chicago,1,hotel,127,177.45
Private room,Chicago,1,hotel,127,177.45
Private room,Chicago,1,hotel,136,177.45
Private room,Chicago,1,hotel,152,177.45
Private room,Chicago,1,hotel,171,177.45
Private room,Chicago,1,hotel,319,177.45
Private room,Chicago,1,hotel,169,177.45
